Sample	Level	Count	SubsamplePercent
HFTF-TE-101A_S1	class	32	5
HFTF-TE-101A_S1	class	34	10
HFTF-TE-101A_S1	class	37	15
HFTF-TE-101A_S1	class	38	20
HFTF-TE-101A_S1	class	37	25
HFTF-TE-101A_S1	class	38	30
HFTF-TE-101A_S1	class	39	35
HFTF-TE-101A_S1	class	39	40
HFTF-TE-101A_S1	class	39	45
HFTF-TE-101A_S1	class	38	50
HFTF-TE-101A_S1	class	39	55
HFTF-TE-101A_S1	class	39	60
HFTF-TE-101A_S1	class	39	65
HFTF-TE-101A_S1	class	40	70
HFTF-TE-101A_S1	class	39	75
HFTF-TE-101A_S1	class	40	80
HFTF-TE-101A_S1	class	40	85
HFTF-TE-101A_S1	class	40	90
HFTF-TE-101A_S1	class	40	95
HFTF-TE-101A_S1	class	40	100
HFTF-TE-101A_S1	gene	292	5
HFTF-TE-101A_S1	gene	409	10
HFTF-TE-101A_S1	gene	493	15
HFTF-TE-101A_S1	gene	529	20
HFTF-TE-101A_S1	gene	572	25
HFTF-TE-101A_S1	gene	586	30
HFTF-TE-101A_S1	gene	624	35
HFTF-TE-101A_S1	gene	632	40
HFTF-TE-101A_S1	gene	635	45
HFTF-TE-101A_S1	gene	659	50
HFTF-TE-101A_S1	gene	664	55
HFTF-TE-101A_S1	gene	668	60
HFTF-TE-101A_S1	gene	673	65
HFTF-TE-101A_S1	gene	678	70
HFTF-TE-101A_S1	gene	683	75
HFTF-TE-101A_S1	gene	691	80
HFTF-TE-101A_S1	gene	694	85
HFTF-TE-101A_S1	gene	702	90
HFTF-TE-101A_S1	gene	703	95
HFTF-TE-101A_S1	gene	704	100
HFTF-TE-101A_S1	group	133	5
HFTF-TE-101A_S1	group	216	10
HFTF-TE-101A_S1	group	274	15
HFTF-TE-101A_S1	group	288	20
HFTF-TE-101A_S1	group	299	25
HFTF-TE-101A_S1	group	316	30
HFTF-TE-101A_S1	group	328	35
HFTF-TE-101A_S1	group	326	40
HFTF-TE-101A_S1	group	329	45
HFTF-TE-101A_S1	group	337	50
HFTF-TE-101A_S1	group	338	55
HFTF-TE-101A_S1	group	338	60
HFTF-TE-101A_S1	group	340	65
HFTF-TE-101A_S1	group	344	70
HFTF-TE-101A_S1	group	341	75
HFTF-TE-101A_S1	group	348	80
HFTF-TE-101A_S1	group	350	85
HFTF-TE-101A_S1	group	350	90
HFTF-TE-101A_S1	group	351	95
HFTF-TE-101A_S1	group	351	100
HFTF-TE-101A_S1	mech	67	5
HFTF-TE-101A_S1	mech	83	10
HFTF-TE-101A_S1	mech	88	15
HFTF-TE-101A_S1	mech	92	20
HFTF-TE-101A_S1	mech	92	25
HFTF-TE-101A_S1	mech	94	30
HFTF-TE-101A_S1	mech	98	35
HFTF-TE-101A_S1	mech	95	40
HFTF-TE-101A_S1	mech	97	45
HFTF-TE-101A_S1	mech	97	50
HFTF-TE-101A_S1	mech	97	55
HFTF-TE-101A_S1	mech	99	60
HFTF-TE-101A_S1	mech	98	65
HFTF-TE-101A_S1	mech	101	70
HFTF-TE-101A_S1	mech	98	75
HFTF-TE-101A_S1	mech	101	80
HFTF-TE-101A_S1	mech	101	85
HFTF-TE-101A_S1	mech	101	90
HFTF-TE-101A_S1	mech	101	95
HFTF-TE-101A_S1	mech	101	100
HFTF-TE-101A_S1	type	4	5
HFTF-TE-101A_S1	type	4	10
HFTF-TE-101A_S1	type	4	15
HFTF-TE-101A_S1	type	4	20
HFTF-TE-101A_S1	type	4	25
HFTF-TE-101A_S1	type	4	30
HFTF-TE-101A_S1	type	4	35
HFTF-TE-101A_S1	type	4	40
HFTF-TE-101A_S1	type	4	45
HFTF-TE-101A_S1	type	4	50
HFTF-TE-101A_S1	type	4	55
HFTF-TE-101A_S1	type	4	60
HFTF-TE-101A_S1	type	4	65
HFTF-TE-101A_S1	type	4	70
HFTF-TE-101A_S1	type	4	75
HFTF-TE-101A_S1	type	4	80
HFTF-TE-101A_S1	type	4	85
HFTF-TE-101A_S1	type	4	90
HFTF-TE-101A_S1	type	4	95
HFTF-TE-101A_S1	type	4	100
HFTF-TE-101B_S2	class	19	5
HFTF-TE-101B_S2	class	23	10
HFTF-TE-101B_S2	class	23	15
HFTF-TE-101B_S2	class	25	20
HFTF-TE-101B_S2	class	25	25
HFTF-TE-101B_S2	class	27	30
HFTF-TE-101B_S2	class	26	35
HFTF-TE-101B_S2	class	28	40
HFTF-TE-101B_S2	class	27	45
HFTF-TE-101B_S2	class	27	50
HFTF-TE-101B_S2	class	28	55
HFTF-TE-101B_S2	class	28	60
HFTF-TE-101B_S2	class	28	65
HFTF-TE-101B_S2	class	29	70
HFTF-TE-101B_S2	class	29	75
HFTF-TE-101B_S2	class	29	80
HFTF-TE-101B_S2	class	29	85
HFTF-TE-101B_S2	class	28	90
HFTF-TE-101B_S2	class	29	95
HFTF-TE-101B_S2	class	29	100
HFTF-TE-101B_S2	gene	212	5
HFTF-TE-101B_S2	gene	227	10
HFTF-TE-101B_S2	gene	235	15
HFTF-TE-101B_S2	gene	256	20
HFTF-TE-101B_S2	gene	264	25
HFTF-TE-101B_S2	gene	267	30
HFTF-TE-101B_S2	gene	282	35
HFTF-TE-101B_S2	gene	285	40
HFTF-TE-101B_S2	gene	293	45
HFTF-TE-101B_S2	gene	292	50
HFTF-TE-101B_S2	gene	291	55
HFTF-TE-101B_S2	gene	295	60
HFTF-TE-101B_S2	gene	298	65
HFTF-TE-101B_S2	gene	309	70
HFTF-TE-101B_S2	gene	314	75
HFTF-TE-101B_S2	gene	311	80
HFTF-TE-101B_S2	gene	311	85
HFTF-TE-101B_S2	gene	313	90
HFTF-TE-101B_S2	gene	320	95
HFTF-TE-101B_S2	gene	320	100
HFTF-TE-101B_S2	group	59	5
HFTF-TE-101B_S2	group	66	10
HFTF-TE-101B_S2	group	69	15
HFTF-TE-101B_S2	group	78	20
HFTF-TE-101B_S2	group	82	25
HFTF-TE-101B_S2	group	84	30
HFTF-TE-101B_S2	group	90	35
HFTF-TE-101B_S2	group	91	40
HFTF-TE-101B_S2	group	94	45
HFTF-TE-101B_S2	group	91	50
HFTF-TE-101B_S2	group	95	55
HFTF-TE-101B_S2	group	94	60
HFTF-TE-101B_S2	group	97	65
HFTF-TE-101B_S2	group	98	70
HFTF-TE-101B_S2	group	102	75
HFTF-TE-101B_S2	group	100	80
HFTF-TE-101B_S2	group	101	85
HFTF-TE-101B_S2	group	101	90
HFTF-TE-101B_S2	group	104	95
HFTF-TE-101B_S2	group	104	100
HFTF-TE-101B_S2	mech	31	5
HFTF-TE-101B_S2	mech	36	10
HFTF-TE-101B_S2	mech	37	15
HFTF-TE-101B_S2	mech	41	20
HFTF-TE-101B_S2	mech	43	25
HFTF-TE-101B_S2	mech	46	30
HFTF-TE-101B_S2	mech	48	35
HFTF-TE-101B_S2	mech	49	40
HFTF-TE-101B_S2	mech	48	45
HFTF-TE-101B_S2	mech	47	50
HFTF-TE-101B_S2	mech	50	55
HFTF-TE-101B_S2	mech	49	60
HFTF-TE-101B_S2	mech	51	65
HFTF-TE-101B_S2	mech	51	70
HFTF-TE-101B_S2	mech	54	75
